Complaint ID,Customer ID,Product/Service,Complaint Category,Date Filed,Date Resolved,Status,Resolution Time (Days)
820407,28631,Insurance Plan,Delivery,2024-05-24,2024-06-11 00:00:00,Resolved,18.0
262537,23083,Digital Scale,Product Quality,2024-06-30,2024-07-28 00:00:00,Resolved,28.0
459273,52729,Digital Scale,Service,2024-05-10,2024-05-20 00:00:00,Resolved,10.0
271580,63115,Personal Safe,Delivery,2023-10-26,Unresolved,Unresolved,0.0
282178,17532,Fitness Tracker,Product Quality,2024-07-18,2024-08-16 00:00:00,Resolved,29.0
608969,98598,Customer Support Service,Delivery,2023-11-12,2023-11-20 00:00:00,Resolved,8.0
425538,86606,Cloud Storage,Product Quality,2024-02-07,2024-02-27 00:00:00,Resolved,20.0
630128,19045,Fitness Tracker,Service,2024-08-12,Unresolved,Unresolved,0.0
588941,18285,Digital Scale,Service,2024-08-24,2024-08-28 00:00:00,Resolved,4.0
921215,73034,Insurance Plan,Billing,2023-12-05,2024-01-03 00:00:00,Resolved,29.0
655434,96496,Home Security System,Product Quality,2024-02-19,2024-03-10 00:00:00,Resolved,20.0
776011,54527,Home Security System,Delivery,2023-10-31,2023-11-09 00:00:00,Resolved,9.0
226694,34562,Home Security System,Technical Support,2023-12-01,2023-12-11 00:00:00,Resolved,10.0
704514,40651,Home Security System,Service,2024-02-20,Unresolved,Unresolved,0.0
381559,54129,Personal Safe,Technical Support,2024-03-11,2024-03-23 00:00:00,Resolved,12.0
866567,66699,Digital Scale,Technical Support,2023-12-26,2023-12-30 00:00:00,Resolved,4.0
902524,55819,Digital Scale,Service,2024-07-02,2024-07-11 00:00:00,Resolved,9.0
593413,85069,Home Security System,Billing,2023-12-31,Unresolved,Unresolved,0.0
100216,73029,Weight Loss Program,Billing,2024-05-16,2024-05-23 00:00:00,Resolved,7.0
807469,43859,Weight Loss Program,Delivery,2023-11-15,2023-12-05 00:00:00,Resolved,20.0
640416,10972,Cloud Storage,Technical Support,2024-03-30,2024-04-14 00:00:00,Resolved,15.0
300152,52757,Digital Scale,Service,2023-09-16,2023-10-03 00:00:00,Resolved,17.0
307163,14924,Cloud Storage,Technical Support,2023-09-01,2023-09-27 00:00:00,Resolved,26.0
763821,15817,Digital Scale,Product Quality,2024-05-27,Unresolved,Unresolved,0.0
569103,74656,Weight Loss Program,Delivery,2024-03-28,2024-04-12 00:00:00,Resolved,15.0
177124,38208,Home Security System,Delivery,2023-09-02,2023-09-29 00:00:00,Resolved,27.0
178158,16647,Insurance Plan,Product Quality,2024-03-24,Unresolved,Unresolved,0.0
807802,33971,Home Security System,Delivery,2024-01-07,Unresolved,Unresolved,0.0
838416,18804,Home Security System,Service,2023-12-25,2024-01-09 00:00:00,Resolved,15.0
945182,77685,Fitness Tracker,Product Quality,2023-11-15,2023-11-24 00:00:00,Resolved,9.0
788707,21357,Drone Delivery Service,Technical Support,2023-11-13,2023-12-12 00:00:00,Resolved,29.0
355701,47102,Home Security System,Product Quality,2024-04-25,2024-05-25 00:00:00,Resolved,30.0
977109,99546,Mobile Banking App,Technical Support,2024-02-24,2024-03-10 00:00:00,Resolved,15.0
417231,27411,Drone Delivery Service,Technical Support,2024-06-13,2024-06-19 00:00:00,Resolved,6.0
941434,21281,Drone Delivery Service,Delivery,2024-03-31,2024-04-28 00:00:00,Resolved,28.0
939442,57326,Cloud Storage,Delivery,2023-10-08,2023-10-27 00:00:00,Resolved,19.0
204240,46312,Weight Loss Program,Technical Support,2024-08-04,Unresolved,Unresolved,0.0
547957,56151,Home Security System,Product Quality,2023-10-25,2023-11-03 00:00:00,Resolved,9.0
929717,50894,Drone Delivery Service,Service,2024-06-19,2024-07-05 00:00:00,Resolved,16.0
829761,68556,Weight Loss Program,Billing,2023-09-23,Unresolved,Unresolved,0.0
205113,41203,Insurance Plan,Billing,2024-04-21,2024-05-08 00:00:00,Resolved,17.0
803752,77452,Drone Delivery Service,Delivery,2023-10-22,2023-11-10 00:00:00,Resolved,19.0
306606,31514,Drone Delivery Service,Technical Support,2023-10-26,2023-11-16 00:00:00,Resolved,21.0
656316,44208,Fitness Tracker,Delivery,2023-12-28,2024-01-10 00:00:00,Resolved,13.0
924492,99060,Cloud Storage,Billing,2024-01-26,2024-01-29 00:00:00,Resolved,3.0
458567,61418,Home Security System,Technical Support,2024-03-28,2024-04-16 00:00:00,Resolved,19.0
101800,98150,Cloud Storage,Technical Support,2024-02-14,2024-02-15 00:00:00,Resolved,1.0
221503,57392,Weight Loss Program,Billing,2023-10-14,2023-10-22 00:00:00,Resolved,8.0
105883,20380,Mobile Banking App,Billing,2024-07-22,2024-08-08 00:00:00,Resolved,17.0
567350,37042,Weight Loss Program,Technical Support,2024-08-08,2024-08-29 00:00:00,Resolved,21.0
150874,22434,Digital Scale,Billing,2023-10-24,2023-11-18 00:00:00,Resolved,25.0
316308,55683,Cloud Storage,Technical Support,2024-05-27,2024-06-13 00:00:00,Resolved,17.0
875124,30516,Mobile Banking App,Delivery,2024-07-20,2024-07-28 00:00:00,Resolved,8.0
220891,56192,Digital Scale,Service,2024-08-19,2024-09-09 00:00:00,Resolved,21.0
581088,88636,Insurance Plan,Delivery,2023-12-30,2024-01-29 00:00:00,Resolved,30.0
801190,37869,Personal Safe,Service,2023-08-31,2023-09-01 00:00:00,Resolved,1.0
141883,86987,Cloud Storage,Delivery,2024-01-07,2024-01-08 00:00:00,Resolved,1.0
683420,15977,Cloud Storage,Billing,2024-08-12,2024-08-29 00:00:00,Resolved,17.0
535323,91655,Personal Safe,Product Quality,2024-06-01,2024-06-19 00:00:00,Resolved,18.0
313860,41852,Digital Scale,Product Quality,2024-07-10,2024-07-19 00:00:00,Resolved,9.0
437988,73520,Personal Safe,Product Quality,2024-04-22,2024-05-07 00:00:00,Resolved,15.0
836401,40636,Drone Delivery Service,Product Quality,2024-02-23,2024-03-17 00:00:00,Resolved,23.0
520057,17883,Cloud Storage,Delivery,2024-06-27,2024-07-19 00:00:00,Resolved,22.0
368858,41248,Fitness Tracker,Billing,2023-10-09,2023-10-17 00:00:00,Resolved,8.0
297788,81342,Insurance Plan,Product Quality,2023-11-13,2023-11-18 00:00:00,Resolved,5.0
984296,12737,Home Security System,Product Quality,2024-04-21,2024-05-08 00:00:00,Resolved,17.0
842019,75568,Mobile Banking App,Delivery,2023-12-16,2024-01-03 00:00:00,Resolved,18.0
666979,38726,Mobile Banking App,Delivery,2023-10-07,2023-11-01 00:00:00,Resolved,25.0
999443,99609,Insurance Plan,Service,2023-12-30,2023-12-31 00:00:00,Resolved,1.0
360650,53544,Personal Safe,Delivery,2024-01-06,2024-01-10 00:00:00,Resolved,4.0
484582,27014,Customer Support Service,Delivery,2024-06-18,2024-06-29 00:00:00,Resolved,11.0
105044,28833,Digital Scale,Technical Support,2023-10-28,2023-11-08 00:00:00,Resolved,11.0
458054,76407,Home Security System,Technical Support,2024-05-07,2024-05-30 00:00:00,Resolved,23.0
408128,98642,Drone Delivery Service,Service,2024-08-06,2024-08-14 00:00:00,Resolved,8.0
375995,21966,Fitness Tracker,Delivery,2024-05-28,2024-06-23 00:00:00,Resolved,26.0
747731,36941,Customer Support Service,Delivery,2023-12-05,2023-12-10 00:00:00,Resolved,5.0
249706,90417,Cloud Storage,Billing,2024-08-24,2024-09-09 00:00:00,Resolved,16.0
398675,73541,Fitness Tracker,Service,2024-05-09,2024-06-04 00:00:00,Resolved,26.0
530875,25814,Home Security System,Technical Support,2024-06-20,2024-06-21 00:00:00,Resolved,1.0
455681,96786,Digital Scale,Service,2024-02-11,2024-03-06 00:00:00,Resolved,24.0
550561,27234,Personal Safe,Billing,2024-08-23,Unresolved,Unresolved,0.0
269023,92515,Home Security System,Technical Support,2023-10-15,2023-11-08 00:00:00,Resolved,24.0
518119,89660,Mobile Banking App,Billing,2024-03-03,2024-03-05 00:00:00,Resolved,2.0
234659,80216,Digital Scale,Technical Support,2023-11-07,2023-11-29 00:00:00,Resolved,22.0
978007,97487,Home Security System,Technical Support,2024-07-14,Unresolved,Unresolved,0.0
899697,17392,Digital Scale,Service,2024-01-18,Unresolved,Unresolved,0.0
314641,70172,Insurance Plan,Billing,2024-02-24,2024-03-15 00:00:00,Resolved,20.0
252701,19135,Cloud Storage,Technical Support,2023-12-07,2023-12-24 00:00:00,Resolved,17.0
474337,81779,Insurance Plan,Technical Support,2023-09-07,2023-10-06 00:00:00,Resolved,29.0
404704,75844,Customer Support Service,Service,2023-10-24,2023-11-23 00:00:00,Resolved,30.0
570815,44223,Weight Loss Program,Delivery,2024-04-26,2024-05-23 00:00:00,Resolved,27.0
276787,32227,Insurance Plan,Service,2024-08-15,2024-08-16 00:00:00,Resolved,1.0
565196,88207,Weight Loss Program,Technical Support,2023-11-28,2023-12-28 00:00:00,Resolved,30.0
761368,69805,Drone Delivery Service,Billing,2023-11-17,2023-12-12 00:00:00,Resolved,25.0
870141,77655,Fitness Tracker,Billing,2024-08-28,2024-09-04 00:00:00,Resolved,7.0
258872,65616,Fitness Tracker,Product Quality,2024-08-09,2024-09-03 00:00:00,Resolved,25.0
771579,15935,Cloud Storage,Delivery,2023-11-01,2023-11-26 00:00:00,Resolved,25.0
302840,99705,Personal Safe,Service,2024-01-07,2024-01-14 00:00:00,Resolved,7.0
849467,76598,Cloud Storage,Delivery,2023-12-31,2024-01-12 00:00:00,Resolved,12.0
674619,15567,Digital Scale,Technical Support,2023-11-13,2023-11-19 00:00:00,Resolved,6.0
748078,29317,Digital Scale,Billing,2023-09-02,2023-09-13 00:00:00,Resolved,11.0
870223,74667,Customer Support Service,Technical Support,2023-09-07,2023-09-11 00:00:00,Resolved,4.0
476142,13290,Mobile Banking App,Billing,2024-03-10,2024-04-01 00:00:00,Resolved,22.0
546868,61216,Mobile Banking App,Technical Support,2024-03-04,2024-03-23 00:00:00,Resolved,19.0
660550,14220,Customer Support Service,Service,2023-10-29,Unresolved,Unresolved,0.0
269234,91801,Home Security System,Product Quality,2024-08-21,2024-09-05 00:00:00,Resolved,15.0
574858,20950,Weight Loss Program,Service,2023-11-21,2023-12-04 00:00:00,Resolved,13.0
191464,38410,Fitness Tracker,Delivery,2024-03-03,2024-03-06 00:00:00,Resolved,3.0
462822,58596,Mobile Banking App,Service,2024-05-13,2024-05-14 00:00:00,Resolved,1.0
740893,27250,Digital Scale,Technical Support,2024-02-14,2024-02-29 00:00:00,Resolved,15.0
518830,60578,Fitness Tracker,Delivery,2023-09-05,2023-09-11 00:00:00,Resolved,6.0
901174,27287,Home Security System,Service,2024-04-19,2024-05-04 00:00:00,Resolved,15.0
759654,67086,Insurance Plan,Service,2024-03-21,2024-03-23 00:00:00,Resolved,2.0
120296,90568,Home Security System,Product Quality,2024-06-19,2024-07-16 00:00:00,Resolved,27.0
881606,46007,Weight Loss Program,Technical Support,2023-11-28,Unresolved,Unresolved,0.0
820454,94983,Customer Support Service,Service,2024-06-27,2024-07-27 00:00:00,Resolved,30.0
835159,79896,Digital Scale,Service,2024-04-20,2024-05-17 00:00:00,Resolved,27.0
224321,38274,Insurance Plan,Service,2024-07-19,2024-07-25 00:00:00,Resolved,6.0
215950,86095,Cloud Storage,Service,2024-06-23,2024-07-07 00:00:00,Resolved,14.0
880534,88095,Insurance Plan,Service,2023-09-07,2023-09-30 00:00:00,Resolved,23.0
684830,90233,Customer Support Service,Product Quality,2023-09-08,2023-09-19 00:00:00,Resolved,11.0
907428,57740,Mobile Banking App,Product Quality,2024-03-16,Unresolved,Unresolved,0.0
866887,82811,Customer Support Service,Billing,2024-04-08,2024-04-21 00:00:00,Resolved,13.0
727332,76515,Fitness Tracker,Product Quality,2024-02-11,2024-02-23 00:00:00,Resolved,12.0
454540,27410,Insurance Plan,Billing,2023-12-26,2024-01-19 00:00:00,Resolved,24.0
945445,56172,Digital Scale,Technical Support,2023-12-05,2023-12-14 00:00:00,Resolved,9.0
320333,47648,Weight Loss Program,Billing,2024-02-26,2024-03-27 00:00:00,Resolved,30.0
173166,19376,Home Security System,Delivery,2024-04-29,2024-05-01 00:00:00,Resolved,2.0
721026,67140,Fitness Tracker,Product Quality,2024-02-18,2024-02-29 00:00:00,Resolved,11.0
770666,71141,Personal Safe,Technical Support,2023-12-01,Unresolved,Unresolved,0.0
446213,62640,Insurance Plan,Technical Support,2024-08-20,2024-08-25 00:00:00,Resolved,5.0
967264,77191,Personal Safe,Billing,2023-12-19,Unresolved,Unresolved,0.0
425118,31087,Digital Scale,Technical Support,2023-10-20,2023-10-24 00:00:00,Resolved,4.0
458575,31585,Weight Loss Program,Technical Support,2024-03-18,2024-03-30 00:00:00,Resolved,12.0
551667,87045,Customer Support Service,Technical Support,2023-09-28,2023-10-05 00:00:00,Resolved,7.0
114383,80719,Digital Scale,Delivery,2024-04-08,2024-04-21 00:00:00,Resolved,13.0
588979,79292,Digital Scale,Technical Support,2024-08-02,2024-08-15 00:00:00,Resolved,13.0
860953,55598,Customer Support Service,Delivery,2023-09-14,2023-09-24 00:00:00,Resolved,10.0
219716,38266,Mobile Banking App,Service,2023-09-22,2023-10-09 00:00:00,Resolved,17.0
449468,71202,Customer Support Service,Delivery,2023-10-17,2023-10-29 00:00:00,Resolved,12.0
168336,83332,Insurance Plan,Billing,2024-03-07,2024-03-21 00:00:00,Resolved,14.0
218300,63657,Home Security System,Billing,2023-12-12,2023-12-26 00:00:00,Resolved,14.0
528218,94001,Weight Loss Program,Technical Support,2024-05-23,2024-06-20 00:00:00,Resolved,28.0
331080,58785,Cloud Storage,Service,2024-06-20,2024-07-17 00:00:00,Resolved,27.0
644340,75016,Personal Safe,Technical Support,2024-05-26,Unresolved,Unresolved,0.0
536509,81051,Personal Safe,Billing,2024-06-12,Unresolved,Unresolved,0.0
941984,62041,Insurance Plan,Technical Support,2023-10-20,2023-10-24 00:00:00,Resolved,4.0
330045,73569,Drone Delivery Service,Technical Support,2024-06-24,Unresolved,Unresolved,0.0
714952,60210,Personal Safe,Billing,2023-11-10,2023-11-13 00:00:00,Resolved,3.0
935185,46214,Cloud Storage,Service,2023-09-18,Unresolved,Unresolved,0.0
654160,58021,Mobile Banking App,Service,2024-04-21,Unresolved,Unresolved,0.0
553922,32251,Digital Scale,Product Quality,2024-07-11,Unresolved,Unresolved,0.0
380292,86383,Insurance Plan,Product Quality,2023-11-22,2023-12-22 00:00:00,Resolved,30.0
430173,90628,Fitness Tracker,Product Quality,2023-12-05,Unresolved,Unresolved,0.0
705211,53708,Fitness Tracker,Billing,2024-06-23,2024-07-21 00:00:00,Resolved,28.0
876783,31412,Insurance Plan,Delivery,2024-04-14,2024-04-19 00:00:00,Resolved,5.0
665489,70018,Insurance Plan,Technical Support,2024-03-08,Unresolved,Unresolved,0.0
239319,57442,Home Security System,Technical Support,2023-10-12,2023-11-06 00:00:00,Resolved,25.0
633605,24356,Insurance Plan,Delivery,2023-11-10,2023-11-16 00:00:00,Resolved,6.0
999237,20752,Digital Scale,Technical Support,2023-11-30,2023-12-19 00:00:00,Resolved,19.0
689537,71038,Fitness Tracker,Technical Support,2024-06-22,Unresolved,Unresolved,0.0
475532,83829,Cloud Storage,Technical Support,2024-04-12,2024-05-04 00:00:00,Resolved,22.0
552393,32432,Fitness Tracker,Service,2024-05-25,Unresolved,Unresolved,0.0
352770,24756,Drone Delivery Service,Billing,2024-08-26,2024-09-22 00:00:00,Resolved,27.0
952120,62035,Personal Safe,Billing,2024-05-24,2024-05-30 00:00:00,Resolved,6.0
422626,43954,Drone Delivery Service,Billing,2024-08-03,2024-09-02 00:00:00,Resolved,30.0
473043,86305,Personal Safe,Service,2024-01-21,2024-01-28 00:00:00,Resolved,7.0
225104,34579,Cloud Storage,Technical Support,2024-05-29,2024-05-30 00:00:00,Resolved,1.0
277299,58197,Fitness Tracker,Product Quality,2024-07-12,Unresolved,Unresolved,0.0
755950,64383,Fitness Tracker,Product Quality,2023-09-19,2023-09-28 00:00:00,Resolved,9.0
517509,28311,Fitness Tracker,Service,2024-04-14,2024-04-22 00:00:00,Resolved,8.0
427217,84728,Weight Loss Program,Product Quality,2024-06-23,2024-07-12 00:00:00,Resolved,19.0
884788,80325,Drone Delivery Service,Billing,2024-05-06,2024-05-18 00:00:00,Resolved,12.0
986890,34753,Home Security System,Billing,2024-02-03,2024-02-13 00:00:00,Resolved,10.0
125665,20271,Digital Scale,Service,2024-05-20,2024-06-19 00:00:00,Resolved,30.0
250166,66288,Mobile Banking App,Delivery,2024-02-06,Unresolved,Unresolved,0.0
616977,30737,Customer Support Service,Service,2024-05-15,2024-06-05 00:00:00,Resolved,21.0
714723,44222,Insurance Plan,Delivery,2024-03-05,2024-04-02 00:00:00,Resolved,28.0
601226,43695,Customer Support Service,Service,2023-11-20,Unresolved,Unresolved,0.0
906429,42784,Mobile Banking App,Service,2024-08-21,Unresolved,Unresolved,0.0
771947,64120,Fitness Tracker,Service,2024-04-17,Unresolved,Unresolved,0.0
925953,94854,Mobile Banking App,Service,2024-06-09,2024-06-23 00:00:00,Resolved,14.0
402395,14122,Customer Support Service,Technical Support,2023-11-03,2023-11-28 00:00:00,Resolved,25.0
141211,11364,Customer Support Service,Service,2024-07-29,2024-08-27 00:00:00,Resolved,29.0
801716,84451,Insurance Plan,Product Quality,2024-02-25,2024-03-20 00:00:00,Resolved,24.0
873653,24518,Personal Safe,Delivery,2024-03-28,2024-04-07 00:00:00,Resolved,10.0
909760,21396,Cloud Storage,Billing,2024-08-18,2024-08-19 00:00:00,Resolved,1.0
134121,96559,Home Security System,Delivery,2024-06-08,2024-06-30 00:00:00,Resolved,22.0
867185,44083,Drone Delivery Service,Product Quality,2023-12-14,2024-01-08 00:00:00,Resolved,25.0
106948,37145,Personal Safe,Product Quality,2024-04-12,2024-04-23 00:00:00,Resolved,11.0
103547,65438,Drone Delivery Service,Technical Support,2024-08-25,2024-09-01 00:00:00,Resolved,7.0
746100,11271,Home Security System,Billing,2023-11-11,2023-11-21 00:00:00,Resolved,10.0
440221,45881,Drone Delivery Service,Product Quality,2024-06-18,2024-07-14 00:00:00,Resolved,26.0
353218,28674,Fitness Tracker,Delivery,2024-03-03,2024-03-10 00:00:00,Resolved,7.0
462539,78721,Weight Loss Program,Product Quality,2023-09-27,2023-10-15 00:00:00,Resolved,18.0
947762,42734,Weight Loss Program,Service,2024-05-05,2024-05-28 00:00:00,Resolved,23.0
184533,76280,Mobile Banking App,Delivery,2023-11-15,2023-12-15 00:00:00,Resolved,30.0
790793,94533,Fitness Tracker,Service,2024-01-26,Unresolved,Unresolved,0.0
534276,79131,Home Security System,Service,2023-08-30,2023-09-10 00:00:00,Resolved,11.0
151886,58714,Fitness Tracker,Product Quality,2024-05-16,Unresolved,Unresolved,0.0
695468,37031,Home Security System,Delivery,2023-09-16,2023-10-04 00:00:00,Resolved,18.0
160674,35151,Digital Scale,Service,2024-08-26,2024-09-14 00:00:00,Resolved,19.0
353033,76838,Digital Scale,Product Quality,2023-11-08,2023-11-26 00:00:00,Resolved,18.0
928591,59747,Insurance Plan,Product Quality,2024-07-21,2024-08-19 00:00:00,Resolved,29.0
426143,94332,Cloud Storage,Billing,2024-07-23,2024-08-16 00:00:00,Resolved,24.0
632542,35521,Customer Support Service,Delivery,2024-04-30,2024-05-07 00:00:00,Resolved,7.0
115182,36738,Digital Scale,Product Quality,2024-05-20,Unresolved,Unresolved,0.0
420768,24964,Weight Loss Program,Billing,2024-05-24,2024-05-28 00:00:00,Resolved,4.0
663456,69588,Digital Scale,Product Quality,2024-08-21,2024-08-31 00:00:00,Resolved,10.0
438282,82407,Cloud Storage,Delivery,2023-10-29,2023-11-06 00:00:00,Resolved,8.0
226323,74115,Fitness Tracker,Product Quality,2023-09-10,2023-09-14 00:00:00,Resolved,4.0
367443,95395,Insurance Plan,Delivery,2024-04-11,2024-04-15 00:00:00,Resolved,4.0
746198,25033,Customer Support Service,Technical Support,2024-06-16,2024-07-02 00:00:00,Resolved,16.0
854711,64417,Fitness Tracker,Billing,2024-06-10,2024-06-15 00:00:00,Resolved,5.0
439060,79278,Personal Safe,Delivery,2024-05-25,2024-05-30 00:00:00,Resolved,5.0
733662,43980,Weight Loss Program,Service,2024-08-25,2024-08-26 00:00:00,Resolved,1.0
608065,34098,Fitness Tracker,Technical Support,2024-07-28,2024-08-11 00:00:00,Resolved,14.0
880266,46837,Fitness Tracker,Product Quality,2023-11-10,2023-11-14 00:00:00,Resolved,4.0
908123,24553,Drone Delivery Service,Billing,2023-12-26,2024-01-20 00:00:00,Resolved,25.0
883721,22727,Drone Delivery Service,Technical Support,2024-03-12,2024-04-08 00:00:00,Resolved,27.0
271006,44671,Weight Loss Program,Technical Support,2024-07-04,2024-07-17 00:00:00,Resolved,13.0
660439,65565,Personal Safe,Technical Support,2024-04-27,Unresolved,Unresolved,0.0
463800,40263,Fitness Tracker,Billing,2024-04-03,2024-04-28 00:00:00,Resolved,25.0
784440,29476,Fitness Tracker,Service,2024-07-11,Unresolved,Unresolved,0.0
510139,94811,Customer Support Service,Technical Support,2024-05-14,Unresolved,Unresolved,0.0
383694,48287,Mobile Banking App,Billing,2024-02-12,2024-03-07 00:00:00,Resolved,24.0
827207,87779,Home Security System,Delivery,2024-07-09,2024-07-12 00:00:00,Resolved,3.0
794155,23771,Digital Scale,Delivery,2024-03-12,2024-03-22 00:00:00,Resolved,10.0
797958,12791,Insurance Plan,Product Quality,2024-01-12,2024-01-22 00:00:00,Resolved,10.0
755067,15476,Customer Support Service,Service,2024-02-03,2024-02-24 00:00:00,Resolved,21.0
556795,69784,Home Security System,Billing,2024-08-11,2024-08-21 00:00:00,Resolved,10.0
809642,36663,Insurance Plan,Billing,2024-05-30,2024-06-14 00:00:00,Resolved,15.0
379985,82967,Personal Safe,Service,2024-02-26,Unresolved,Unresolved,0.0
572311,28049,Insurance Plan,Delivery,2023-09-26,2023-10-22 00:00:00,Resolved,26.0
154744,78900,Cloud Storage,Billing,2024-03-04,Unresolved,Unresolved,0.0
394967,39054,Fitness Tracker,Billing,2023-10-13,2023-10-15 00:00:00,Resolved,2.0
429152,43962,Cloud Storage,Billing,2024-03-10,2024-03-26 00:00:00,Resolved,16.0
637181,76589,Weight Loss Program,Technical Support,2023-12-10,2023-12-31 00:00:00,Resolved,21.0
397050,53160,Insurance Plan,Billing,2024-01-28,2024-02-17 00:00:00,Resolved,20.0
564321,79747,Digital Scale,Billing,2023-11-25,2023-12-24 00:00:00,Resolved,29.0
755368,96940,Fitness Tracker,Billing,2024-04-26,2024-05-01 00:00:00,Resolved,5.0
556052,99837,Personal Safe,Service,2023-12-28,Unresolved,Unresolved,0.0
380341,37136,Personal Safe,Delivery,2023-10-13,2023-10-24 00:00:00,Resolved,11.0
491527,92858,Drone Delivery Service,Product Quality,2024-03-12,2024-04-09 00:00:00,Resolved,28.0
470680,91571,Home Security System,Delivery,2023-10-01,2023-10-09 00:00:00,Resolved,8.0
901091,33770,Fitness Tracker,Technical Support,2024-06-03,2024-06-17 00:00:00,Resolved,14.0
285211,74672,Digital Scale,Service,2023-10-15,2023-10-19 00:00:00,Resolved,4.0
570324,22263,Mobile Banking App,Technical Support,2024-03-20,2024-04-09 00:00:00,Resolved,20.0
854472,97923,Mobile Banking App,Billing,2024-01-12,Unresolved,Unresolved,0.0
